"Element CSS selector","Total # of interaction points","Visible in image","% of total"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0","1499","Yes","22.66%"
"#\:r0\:","205","Yes","3.10%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-container.MuiGrid-item.MuiGrid-grid-xs-4.css-1py42o1","204","Yes","3.08%"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0>div.MuiPaper-root.MuiPaper-elevation.MuiPaper-rounded.MuiPaper-elevation24.MuiDialog-paper>div.MuiDialogActions-root.MuiDialogActions-spacing.css-1vskg8q>button.MuiButtonBase-root.MuiButton-root.MuiButton-text.MuiButton-textPrimary.MuiButton-sizeMedium","165","Yes","2.49%"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0>div.MuiPaper-root.MuiPaper-elevation.MuiPaper-rounded.MuiPaper-elevation24.MuiDialog-paper>div.MuiDialogContent-root.css-1ty026z>p.MuiTypography-root.MuiDialogContentText-root.MuiTypography-body1.MuiDialogContentText-root.css-8gc1nc","123","Yes","1.86%"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0>div.MuiPaper-root.MuiPaper-elevation.MuiPaper-rounded.MuiPaper-elevation24.MuiDialog-paper>div.MuiDialogContent-root.css-1ty026z","118","Yes","1.78%"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0>div.MuiPaper-root.MuiPaper-elevation.MuiPaper-rounded.MuiPaper-elevation24.MuiDialog-paper>div.MuiDialogContent-root.css-1ty026z>p.MuiTypography-root.MuiDialogContentText-root.MuiTypography-body1.MuiDialogContentText-root.css-8gc1nc (1)","102","Yes","1.54%"
"#menu-","96","No","1.45%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb (3)","94","Yes","1.42%"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0>div.MuiPaper-root.MuiPaper-elevation.MuiPaper-rounded.MuiPaper-elevation24.MuiDialog-paper>div.MuiDialogActions-root.MuiDialogActions-spacing.css-1vskg8q","93","Yes","1.41%"
"#\:R9nnla\:","90","Yes","1.36%"
"div#menu->div.MuiBackdrop-root.MuiBackdrop-invisible.MuiModal-backdrop.css-esi9ax","87","No","1.31%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb (2)","78","Yes","1.18%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb (1)","78","Yes","1.18%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb (4)","77","Yes","1.16%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-container.MuiGrid-item.MuiGrid-grid-xs-4.css-1py42o1>div.MuiContainer-root.MuiContainer-maxWidthLg.checkout-container.config-0-position.css-1qsxih2>button.MuiButtonBase-root.MuiButton-root.MuiButton-contained.MuiButton-containedPrimary.MuiButton-sizeMedium","76","Yes","1.15%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb (6)","65","Yes","0.98%"
"html>body>div.MuiDialog-root.MuiModal-root.css-126xj0f>div.MuiDialog-container.MuiDialog-scrollPaper.css-ekeie0>div.MuiPaper-root.MuiPaper-elevation.MuiPaper-rounded.MuiPaper-elevation24.MuiDialog-paper>div.MuiDialogContent-root.css-1ty026z>p.MuiTypography-root.MuiDialogContentText-root.MuiTypography-body1.MuiDialogContentText-root.css-8gc1nc>button.MuiButtonBase-root.MuiIconButton-root.MuiIconButton-sizeSmall.css-1j7qk7u>svg.MuiSvgIcon-root.MuiSvgIcon-fontSizeMedium.css-vubbuv","65","Yes","0.98%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2 (2)","63","Yes","0.95%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb (5)","63","Yes","0.95%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2>div.MuiInputBase-root.MuiOutlinedInput-root.MuiInputBase-colorPrimary.cart-quantity.css-1wr1pns>div.MuiSelect-select.MuiSelect-outlined.MuiInputBase-input.MuiOutlinedInput-input.css-qiwgdb","63","Yes","0.95%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-details.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-shopping-details.css-1qsxih2>h2.MuiTypography-root.MuiTypography-body1.flex.text-lg\/\[23px\].\!line-clamp-2 (5)","61","Yes","0.92%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2 (4)","60","Yes","0.91%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2 (3)","56","Yes","0.85%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2 (1)","56","Yes","0.85%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-details.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-shopping-details.css-1qsxih2>h2.MuiTypography-root.MuiTypography-body1.flex.text-lg\/\[23px\].\!line-clamp-2 (1)","49","Yes","0.74%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-details.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-shopping-details.css-1qsxih2>h2.MuiTypography-root.MuiTypography-body1.flex.text-lg\/\[23px\].\!line-clamp-2 (2)","48","Yes","0.73%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-bottom-tools.css-1qsxih2 (1)","47","Yes","0.71%"
"html>body>main.flex.min-h-screen.flex-col.items-center.justify-between>div.MuiGrid-root.MuiGrid-container.MuiGrid-spacing-xs-2.css-isbt42>div.MuiGrid-root.MuiGrid-item.MuiGrid-grid-xs-8.css-45ujxc>div.MuiContainer-root.MuiContainer-maxWidthLg.shopping-cart-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-content-container.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-item-details.css-1qsxih2>div.MuiContainer-root.MuiContainer-maxWidthLg.cart-shopping-details.css-1qsxih2>h2.MuiTypography-root.MuiTypography-body1.flex.text-lg\/\[23px\].\!line-clamp-2 (6)","45","Yes","0.68%"
