"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","65","21","100.0"
"10%","131","21","100.0"
"15%","197","21","100.0"
"20%","263","21","100.0"
"25%","329","21","100.0"
"30%","395","21","100.0"
"35%","460","21","100.0"
"40%","526","21","100.0"
"45%","592","20","98.3"
"50%","658","20","96.6"
"55%","724","19","93.1"
"60%","790","19","91.4"
"65%","856","13","62.1"
"70%","921","13","62.1"
"75%","987","13","62.1"
"80%","1053","13","62.1"
"85%","1119","13","62.1"
"90%","1185","13","62.1"
"95%","1251","13","62.1"
"100%","1317","10","51.7"
