"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","67","21","100.0"
"10%","134","21","100.0"
"15%","201","21","100.0"
"20%","268","21","100.0"
"25%","335","21","100.0"
"30%","402","21","100.0"
"35%","469","21","100.0"
"40%","536","21","100.0"
"45%","603","21","100.0"
"50%","670","21","100.0"
"55%","737","20","97.6"
"60%","804","20","97.6"
"65%","871","17","85.7"
"70%","938","17","83.3"
"75%","1005","17","83.3"
"80%","1072","17","83.3"
"85%","1139","17","83.3"
"90%","1206","17","83.3"
"95%","1273","17","83.3"
"100%","1341","14","66.7"
