"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","79","21","100.0"
"10%","158","21","100.0"
"15%","237","21","100.0"
"20%","316","21","100.0"
"25%","395","21","100.0"
"30%","474","21","100.0"
"35%","553","21","100.0"
"40%","632","21","100.0"
"45%","711","21","100.0"
"50%","791","21","100.0"
"55%","870","20","97.2"
"60%","949","20","97.2"
"65%","1028","16","80.6"
"70%","1107","16","80.6"
"75%","1186","16","80.6"
"80%","1265","16","80.6"
"85%","1344","16","80.6"
"90%","1423","16","80.6"
"95%","1502","16","80.6"
"100%","1582","13","63.9"
