"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","80","22","100.0"
"10%","160","22","100.0"
"15%","240","22","100.0"
"20%","320","22","100.0"
"25%","400","22","100.0"
"30%","480","22","100.0"
"35%","560","22","100.0"
"40%","640","22","100.0"
"45%","720","22","100.0"
"50%","801","22","100.0"
"55%","881","21","98.0"
"60%","961","19","90.2"
"65%","1041","15","68.6"
"70%","1121","15","68.6"
"75%","1201","15","68.6"
"80%","1281","14","64.7"
"85%","1361","14","64.7"
"90%","1441","14","64.7"
"95%","1521","14","64.7"
"100%","1602","10","47.1"
