"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","67","21","100.0"
"10%","134","21","100.0"
"15%","201","21","100.0"
"20%","268","21","100.0"
"25%","335","21","100.0"
"30%","402","21","100.0"
"35%","469","21","100.0"
"40%","536","21","100.0"
"45%","603","21","100.0"
"50%","670","21","100.0"
"55%","737","20","97.7"
"60%","804","20","97.7"
"65%","871","18","86.0"
"70%","938","18","86.0"
"75%","1005","18","86.0"
"80%","1072","18","86.0"
"85%","1139","18","86.0"
"90%","1206","18","86.0"
"95%","1273","18","86.0"
"100%","1341","15","72.1"
